000000a8,32,"（何かシャッターチャンスは…と）","(What is theシャッター chance?)","(Какова вероятность спектакля?)","(Was ist die Chance?)"
000000f8,10,"「あっ！」","っ","ПРЯМО",","
00000178,26,"「うう～～～～～～～ん…」","」","」","!"
000001c0,24,"「はふん……ダメェ……」","“Hey…Welcome…”","«Эй…Добро пожаловать…»","“Hey…Welcome…”"
00000208,14,"「もう一度…」","」","」","!"
00000244,30,"「ふんぐう～～～～～～～ん…」","」","」","!"
00000284,20,"「あうん……無理～」","」","」","!"
000002c8,30,"「柚ノ木さん、何やってるの？」","What is Yuzunoki?","Что такое Юзуноки?","Was ist Yuzunoki?"
0000043c,55,"「私、小さいころから懸垂が苦手で、
　１回もできないの」","“I can’t do it once because I’m a little bitter
about my work.”","«Я не могу сделать это один раз, потому что я
немного горько о моей работе. »","„Ich kann es nicht einmal tun, weil ich ein wenig
bitter über meine Arbeit bin. „"
000004dc,51,"「懸垂かぁ。女子って、できない子が
　結構いるよね」","。 I can't do it.","。 Я не могу это сделать.","Ich kann es nicht tun."
000005ac,24,"「まぁ、普通に何回かは」","“How many times are you normally?”","«Сколько раз ты обычно? »","„Wie oft bist du normalerweise? „"
00000618,32,"「やって見せて、やって見せて！」","“I’ll show you and show you!”","«Я покажу тебя и покажу тебе! »","„Ich werde euch zeigen und euch zeigen! „"
00000670,14,"「いいけど…」","」","」","!"
000006e4,22,"「１……回、２……回」","
“1…2…1…1…1…2…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1","
1..1..1..1…1…1…1..1…1…1..1..1…1…1…1…1…1…1…1…..1…1…1…1…1…1…1…1…1..1…1…1…1…1…..1………..1……..1……1…1…1…….1…..1………………………………………………………………………………………………………………………………………….","
…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…1…"
00000748,34,"「うわぁ、すごいすごい！　軽々ね」","Well, it's amazing! It's light!","- Ну, это удивительно! Это свет!","Nun, es ist erstaunlich! Es ist Licht!"
00000798,40,"「そうでもないけど…３……回、４……回」","“I’m not so…3…I’m going to do it…I’m going
to do it…I’m going to do it…”","“Я не так…3…Я собираюсь сделать это… Я
собираюсь это сделать… Я собираюсь это
сделать… »","“Ich bin nicht so…3…Ich werde es tun… Ich
werde es tun… Ich werde es tun… „"
0000084c,24,"「ま、こんなもんかな？」","“Well, is this?”","— Ну, это? »","„Nun, ist das? „"
000008c4,20,"「コツってあるの？」","“What’s Kotsu?”","— Что такое Котсу? »","„Was ist Kotsu? „"
00000904,77,"「コツかぁ……ゆっくりやるより、一気に
　鉄棒を引き寄せるといいんじゃない？」","“T……’s it… I’d like to pull the iron stick
at once rather than slowing down?”","“T…… это… Я хотел бы вытащить железную
палку сразу, а не замедлять? »","„T…… ist es… Ich möchte den Eisenstift auf
einmal ziehen, anstatt sich zu verlangsamen? „"
000009b0,38,"「一気に、ね。ようし、やってみるわ！」","It's all right. Let’s try it!","- Это все правильно. Попробуем!","Es ist in Ordnung. Versuchen wir es!"
00000ac4,16,"「いくわよ～～」","」","」","!"
